invoice_number,order_date,store_number,county_number,category_number,vendor_number,item_number,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,etl_date
S04251200006,2012-02-27,4453,95,10622000,434,45274,24,375,2.84,4.25,12,51.0,4.5,1.19,2025-02-25T13:13:16.885776
S04264700006,2012-02-28,4457,52,10121000,115,11776,12,750,5.23,7.84,12,94.08,9.0,2.38,2025-02-25T13:13:16.885776
381800056,2012-02-29,3818,63,10510100,259,52316,12,750,5.51,8.26,2,16.52,1.5,0.4,2025-02-25T13:13:16.885776
S04331000009,2012-03-01,4504,91,10520100,420,48104,24,375,8.75,13.13,6,78.78,2.25,0.59,2025-02-25T13:13:16.885776
S04316400001,2012-03-05,2597,18,10112000,421,903625,12,750,10.47,15.71,12,188.52,9.0,2.38,2025-02-25T13:13:16.885776
S04368800013,2012-03-06,3944,31,10812000,305,73050,6,750,12.5,18.75,54,1012.5,40.5,10.7,2025-02-25T13:13:16.885776
S04369800010,2012-03-07,3420,77,10411000,434,30528,6,1750,7.0,10.5,36,378.0,63.0,16.64,2025-02-25T13:13:16.885776
S04433600001,2012-03-08,4384,25,10115000,255,27102,6,750,18.08,27.13,6,162.78,4.5,1.19,2025-02-25T13:13:16.885776
S04479800017,2012-03-09,3855,11,10520100,65,47786,12,750,14.17,21.25,4,85.0,3.0,0.79,2025-02-25T13:13:16.885776
S04479200010,2012-03-12,4533,66,10810300,370,67524,24,375,6.43,9.65,12,115.8,4.5,1.19,2025-02-25T13:13:16.885776
S04487100009,2012-03-13,4491,57,10816000,85,86884,24,375,4.54,6.8,6,40.8,2.25,0.59,2025-02-25T13:13:16.885776
S04478600004,2012-03-14,3385,57,10623000,259,43077,12,1000,7.27,10.91,60,654.6,60.0,15.85,2025-02-25T13:13:16.885776
S04546900004,2012-03-15,4397,77,10310800,300,36904,24,375,1.76,2.63,24,63.12,9.0,2.38,2025-02-25T13:13:16.885776
S04593000002,2012-03-16,2190,77,10520100,420,48103,48,200,5.0,7.5,48,360.0,9.6,2.54,2025-02-25T13:13:16.885776
S04594200009,2012-03-19,4408,8,10623100,260,43331,12,500,5.5,8.25,3,24.75,1.5,0.4,2025-02-25T13:13:16.885776
S04600100004,2012-03-20,4395,40,10121000,115,11788,6,1750,10.45,15.67,6,94.02,10.5,2.77,2025-02-25T13:13:16.885776
S04636200003,2012-03-21,4044,29,10122000,260,10008,6,1750,10.22,15.33,6,91.98,10.5,2.77,2025-02-25T13:13:16.885776
S04658200004,2012-03-22,4384,25,10622000,434,45276,12,750,3.85,5.77,12,69.24,9.0,2.38,2025-02-25T13:13:16.885776
S04701900023,2012-03-26,4568,97,10816000,421,64862,12,375,5.33,7.99,3,23.97,1.12,0.3,2025-02-25T13:13:16.885776
S04712200040,2012-03-27,3929,7,10320800,370,34001,10,600,7.92,11.88,1,11.88,0.6,0.16,2025-02-25T13:13:16.885776
S04746300006,2012-03-28,4044,29,10311000,300,36886,12,750,3.3,4.96,12,59.52,9.0,2.38,2025-02-25T13:13:16.885776
S04772200012,2012-03-29,4448,77,10111000,260,25606,12,750,6.53,9.79,6,58.74,4.5,1.19,2025-02-25T13:13:16.885776
S04816400006,2012-04-02,4463,41,10310800,434,36308,6,1750,7.13,10.7,6,64.2,10.5,2.77,2025-02-25T13:13:16.885776
S04828900020,2012-04-03,3934,49,10111000,65,24456,12,750,5.51,8.26,12,99.12,9.0,2.38,2025-02-25T13:13:16.885776
S04850800005,2012-04-04,4411,25,10121000,55,12408,6,1750,7.79,12.29,6,73.74,10.5,2.77,2025-02-25T13:13:16.885776
S04878900002,2012-04-05,4600,77,10310800,421,36978,6,1750,6.87,10.3,6,61.8,10.5,2.77,2025-02-25T13:13:16.885776
S04925000033,2012-04-09,4664,8,10520100,420,48103,48,200,5.0,7.5,6,45.0,1.2,0.32,2025-02-25T13:13:16.885776
S04933800008,2012-04-10,4427,52,10320800,370,34006,12,750,10.89,16.33,8,130.64,6.0,1.59,2025-02-25T13:13:16.885776
S04967300009,2012-04-11,4044,29,10813000,380,83370,12,750,5.15,7.73,12,92.76,9.0,2.38,2025-02-25T13:13:16.885776
S04998600013,2012-04-12,4332,77,10111000,65,22786,12,750,3.25,4.88,12,58.56,9.0,2.38,2025-02-25T13:13:16.885776
S05040700037,2012-04-16,4073,95,10310800,55,35317,12,1000,3.97,5.95,12,71.4,12.0,3.17,2025-02-25T13:13:16.885776
S05039700013,2012-04-17,3354,82,10320800,260,34456,12,750,13.0,19.49,84,1637.16,63.0,16.64,2025-02-25T13:13:16.885776
S05080100005,2012-04-18,4467,70,10121000,115,11788,6,1750,10.45,15.67,6,94.02,10.5,2.77,2025-02-25T13:13:16.885776
S05106400001,2012-04-19,4449,77,10310800,260,37996,12,750,7.96,11.94,12,143.28,9.0,2.38,2025-02-25T13:13:16.885776
S05135000006,2012-04-23,3484,18,10312000,380,41688,12,750,6.25,9.49,3,28.47,2.25,0.59,2025-02-25T13:13:16.885776
S05161000041,2012-04-24,4647,7,10113000,85,26823,48,200,3.69,5.54,48,265.92,9.6,2.54,2025-02-25T13:13:16.885776
S05164700057,2012-04-25,3906,29,10221000,395,89199,12,375,5.49,8.24,3,24.72,1.12,0.3,2025-02-25T13:13:16.885776
4295S05259700040,2012-04-26,4295,77,10312000,260,40946,12,750,7.96,11.94,3,35.82,2.25,0.59,2025-02-25T13:13:16.885776
S05265700020,2012-04-27,4669,77,10520100,885,900470,1,1000,39.92,59.88,2,119.76,2.0,0.53,2025-02-25T13:13:16.885776
S05261400028,2012-04-30,4073,95,10812000,260,68306,12,750,6.0,8.99,12,107.88,9.0,2.38,2025-02-25T13:13:16.885776
S05267700012,2012-05-01,4257,7,10520100,420,48103,48,200,5.0,7.5,48,360.0,9.6,2.54,2025-02-25T13:13:16.885776
S05306800014,2012-05-02,4467,70,10623100,260,43334,24,375,4.5,6.74,4,26.96,1.5,0.4,2025-02-25T13:13:16.885776
S05300500006,2012-05-03,4359,25,10310800,434,36308,6,1750,7.13,10.7,6,64.2,10.5,2.77,2025-02-25T13:13:16.885776
S05376700031,2012-05-07,3494,7,10122000,55,8828,6,1750,10.68,16.26,18,292.68,31.5,8.32,2025-02-25T13:13:16.885776
S05383600042,2012-05-08,3929,7,10113000,85,26827,12,1000,16.92,25.37,2,50.74,2.0,0.53,2025-02-25T13:13:16.885776
S05413500004,2012-05-09,4044,29,10623100,259,43028,6,1750,11.55,17.32,6,103.92,10.5,2.77,2025-02-25T13:13:16.885776
S05443600007,2012-05-10,4155,57,10623100,260,43338,6,1750,17.5,26.24,6,157.44,10.5,2.77,2025-02-25T13:13:16.885776
S05492600001,2012-05-11,2190,77,10829000,240,66810,6,750,18.0,27.0,12,324.0,9.0,2.38,2025-02-25T13:13:16.885776
S05491500002,2012-05-14,4539,37,10623100,260,43338,6,1750,17.5,26.24,6,157.44,10.5,2.77,2025-02-25T13:13:16.885776
S05507900020,2012-05-15,4662,57,10121000,115,11774,24,375,3.07,4.6,12,55.2,4.5,1.19,2025-02-25T13:13:16.885776
S05531500026,2012-05-16,4044,29,10310800,297,35913,48,200,1.1,1.65,12,19.8,2.4,0.63,2025-02-25T13:13:16.885776
S05551500017,2012-05-17,4483,52,10623000,35,43050,12,1000,10.24,15.35,12,184.2,12.0,3.17,2025-02-25T13:13:16.885776
S05602200029,2012-05-21,3494,7,10813550,434,84496,12,750,4.08,6.13,24,147.12,18.0,4.76,2025-02-25T13:13:16.885776
S05615300012,2012-05-22,3934,49,10310800,260,37996,12,750,7.96,11.94,12,143.28,9.0,2.38,2025-02-25T13:13:16.885776
S05645400031,2012-05-23,4296,89,10112000,461,22156,12,750,10.99,17.24,3,51.72,2.25,0.59,2025-02-25T13:13:16.885776
S05660700016,2012-05-24,4375,77,10816000,85,86884,24,375,4.54,6.8,2,13.6,0.75,0.2,2025-02-25T13:13:16.885776
S05723800007,2012-05-25,4081,85,10310800,55,35948,6,1750,7.14,10.7,6,64.2,10.5,2.77,2025-02-25T13:13:16.885776
S05729700011,2012-05-29,4457,52,10623100,260,43331,12,500,5.5,8.25,2,16.5,1.0,0.26,2025-02-25T13:13:16.885776
S05750500024,2012-05-30,4360,50,10111000,260,25604,24,375,3.5,5.25,6,31.5,2.25,0.59,2025-02-25T13:13:16.885776
S05780100058,2012-05-31,4108,77,10312000,65,40849,12,750,9.99,14.99,3,44.97,2.25,0.59,2025-02-25T13:13:16.885776
S05835200001,2012-06-01,2190,77,10122000,260,5327,12,1000,26.5,39.74,12,476.88,12.0,3.17,2025-02-25T13:13:16.885776
S05834200008,2012-06-04,3876,13,10310800,300,36904,24,375,1.76,2.63,2,5.26,0.75,0.2,2025-02-25T13:13:16.885776
S05843400020,2012-06-05,2651,9,10421000,260,28866,12,750,12.0,17.99,12,215.88,9.0,2.38,2025-02-25T13:13:16.885776
S05878200003,2012-06-06,4555,56,10221000,395,89196,12,750,10.49,15.73,12,188.76,9.0,2.38,2025-02-25T13:13:16.885776
S05879700004,2012-06-07,4644,82,10310800,297,35914,24,375,1.84,2.75,24,66.0,9.0,2.38,2025-02-25T13:13:16.885776
S05909900005,2012-06-11,4677,52,10122000,370,4717,12,1000,24.47,36.71,60,2202.6,60.0,15.85,2025-02-25T13:13:16.885776
S05974200008,2012-06-12,4350,64,10623100,259,43028,6,1750,11.55,17.32,6,103.92,10.5,2.77,2025-02-25T13:13:16.885776
S05962800010,2012-06-13,3420,77,10312000,380,41989,12,750,6.25,9.49,12,113.88,9.0,2.38,2025-02-25T13:13:16.885776
S06039800042,2012-06-14,4108,77,10622000,35,43124,24,375,4.3,6.45,10,64.5,3.75,0.99,2025-02-25T13:13:16.885776
S06040900002,2012-06-18,3529,18,10121000,370,903707,6,1750,15.99,23.99,12,287.88,21.0,5.55,2025-02-25T13:13:16.885776
S06089200015,2012-06-19,3354,82,10312000,260,41076,12,750,9.65,14.47,300,4341.0,225.0,59.44,2025-02-25T13:13:16.885776
S06094400011,2012-06-20,3385,57,10121000,115,11788,6,1750,10.45,15.67,30,470.1,52.5,13.87,2025-02-25T13:13:16.885776
S06139100015,2012-06-21,4359,25,10121000,115,11776,12,750,4.83,7.44,12,89.28,9.0,2.38,2025-02-25T13:13:16.885776
S06211100013,2012-06-22,2238,77,10623000,370,42717,12,1000,9.77,14.66,48,703.68,48.0,12.68,2025-02-25T13:13:16.885776
S06208400007,2012-06-25,4394,83,10829000,192,65254,24,375,6.51,9.77,6,58.62,2.25,0.59,2025-02-25T13:13:16.885776
S06214200019,2012-06-26,3929,7,10510100,205,52580,24,200,2.02,3.03,24,72.72,4.8,1.27,2025-02-25T13:13:16.885776
S06249200086,2012-06-27,3911,48,10829000,192,65256,12,750,12.04,18.06,3,54.18,2.25,0.59,2025-02-25T13:13:16.885776
S06278700008,2012-06-28,4108,77,10320800,239,35109,12,750,10.89,16.33,12,195.96,9.0,2.38,2025-02-25T13:13:16.885776
S06329800003,2012-06-29,2190,77,10322000,395,35891,12,750,10.16,15.74,12,188.88,9.0,2.38,2025-02-25T13:13:16.885776
S06331000021,2012-07-02,4222,7,10320800,35,34433,12,750,17.97,26.96,2,53.92,1.5,0.4,2025-02-25T13:13:16.885776
S06346900001,2012-07-03,4413,58,10121000,115,11788,6,1750,9.7,14.92,12,179.04,21.0,5.55,2025-02-25T13:13:16.885776
S06370100054,2012-07-05,4108,77,10221000,395,89199,12,375,5.49,8.24,4,32.96,1.5,0.4,2025-02-25T13:13:16.885776
S06403900037,2012-07-06,3715,82,10310800,260,37991,12,500,7.47,11.2,2,22.4,1.0,0.26,2025-02-25T13:13:16.885776
S06428600002,2012-07-09,4613,14,10121000,115,11776,12,750,5.23,7.84,24,188.16,18.0,4.76,2025-02-25T13:13:16.885776
S06458200017,2012-07-10,4662,57,10312000,260,41807,12,1000,8.95,13.43,3,40.29,3.0,0.79,2025-02-25T13:13:16.885776
S06476000001,2012-07-11,4112,52,10813900,421,69636,12,750,8.66,12.99,12,155.88,9.0,2.38,2025-02-25T13:13:16.885776
469700015,2012-07-12,4697,52,10111000,297,23824,24,375,1.98,2.96,24,71.04,9.0,2.38,2025-02-25T13:13:16.885776
S06566100004,2012-07-16,4353,17,10320800,35,34433,12,750,17.97,26.96,12,323.52,9.0,2.38,2025-02-25T13:13:16.885776
S06587600010,2012-07-17,4438,85,10121000,115,11771,10,600,4.96,7.44,1,7.44,0.6,0.16,2025-02-25T13:13:16.885776
S06614000008,2012-07-18,4654,1,10121000,115,11788,6,1750,9.7,14.92,6,89.52,10.5,2.77,2025-02-25T13:13:16.885776
S06649000003,2012-07-19,4449,77,10310800,434,36306,12,750,3.25,4.88,12,58.56,9.0,2.38,2025-02-25T13:13:16.885776
S06692300001,2012-07-20,3692,57,10814000,434,86507,12,1000,3.75,5.62,120,674.4,120.0,31.7,2025-02-25T13:13:16.885776
S06686800006,2012-07-23,4591,99,10813000,434,81206,12,750,3.7,5.55,6,33.3,4.5,1.19,2025-02-25T13:13:16.885776
S06707400013,2012-07-24,4490,57,10310800,260,37991,12,500,7.47,11.2,2,22.4,1.0,0.26,2025-02-25T13:13:16.885776
S06715900009,2012-07-25,4119,7,10711000,65,63359,12,750,7.69,11.54,12,138.48,9.0,2.38,2025-02-25T13:13:16.885776
S06760100010,2012-07-26,4641,77,10623100,260,43334,24,375,4.5,6.74,6,40.44,2.25,0.59,2025-02-25T13:13:16.885776
S06813800010,2012-07-27,4069,90,10310800,421,36978,6,1750,6.87,10.3,12,123.6,21.0,5.55,2025-02-25T13:13:16.885776
306831300021,2012-07-30,3869,52,10812000,434,68842,12,1000,10.68,16.03,1,16.03,1.0,0.26,2025-02-25T13:13:16.885776
S06817100016,2012-07-31,3934,49,10112000,65,20246,12,750,4.19,6.29,12,75.48,9.0,2.38,2025-02-25T13:13:16.885776
S06865700012,2012-08-01,4352,88,10320800,370,34001,10,600,7.92,11.88,4,47.52,2.4,0.63,2025-02-25T13:13:16.885776
S06850600015,2012-08-02,4359,25,10121000,55,12404,24,375,1.87,2.8,3,8.4,1.12,0.3,2025-02-25T13:13:16.885776
S06926500002,2012-08-03,4604,50,17011000,85,867,6,750,13.54,20.31,6,121.86,4.5,1.19,2025-02-25T13:13:16.885776
S06925400002,2012-08-06,4398,99,10310800,260,38008,6,1750,14.5,21.74,6,130.44,10.5,2.77,2025-02-25T13:13:16.885776
S06933100008,2012-08-07,4660,57,10320800,260,34197,12,375,8.5,12.74,12,152.88,4.5,1.19,2025-02-25T13:13:16.885776
S06957600010,2012-08-08,4112,52,10520100,420,48101,10,600,24.0,36.0,2,72.0,1.2,0.32,2025-02-25T13:13:16.885776
S07010400039,2012-08-09,4666,77,10819000,434,85606,12,750,3.5,5.25,2,10.5,1.5,0.4,2025-02-25T13:13:16.885776
S07046900011,2012-08-13,4764,94,10510100,205,52582,12,750,6.99,10.49,4,41.96,3.0,0.79,2025-02-25T13:13:16.885776
S07056800018,2012-08-14,4509,85,10312000,259,41299,12,750,3.88,6.15,12,73.8,9.0,2.38,2025-02-25T13:13:16.885776
S07091200002,2012-08-15,3403,58,10623100,260,43334,24,375,4.5,6.74,24,161.76,9.0,2.38,2025-02-25T13:13:16.885776
S07116600002,2012-08-16,4596,77,10310800,260,37994,24,375,4.5,6.75,24,162.0,9.0,2.38,2025-02-25T13:13:16.885776
S07165700040,2012-08-20,4764,94,10711000,380,63959,6,1750,7.04,10.57,3,31.71,5.25,1.39,2025-02-25T13:13:16.885776
S07172800034,2012-08-21,4257,7,10813900,421,69636,12,750,8.66,12.99,2,25.98,1.5,0.4,2025-02-25T13:13:16.885776
S07208000006,2012-08-22,3447,97,10320800,260,34198,6,750,18.5,27.74,12,332.88,9.0,2.38,2025-02-25T13:13:16.885776
S07235200003,2012-08-23,4644,82,10310800,300,36904,24,375,1.76,2.63,48,126.24,18.0,4.76,2025-02-25T13:13:16.885776
S07290500043,2012-08-27,4764,94,10322000,395,35637,12,750,11.16,16.74,2,33.48,1.5,0.4,2025-02-25T13:13:16.885776
S07297100025,2012-08-28,3477,78,10112000,65,19476,12,750,15.74,23.61,12,283.32,9.0,2.38,2025-02-25T13:13:16.885776
S07298100007,2012-08-29,4722,29,10121000,260,11296,12,750,14.25,21.49,12,257.88,9.0,2.38,2025-02-25T13:13:16.885776
S07396300010,2012-08-30,4478,77,10121000,115,11776,12,750,5.23,7.84,12,94.08,9.0,2.38,2025-02-25T13:13:16.885776
S07449000012,2012-08-31,3542,66,10812000,305,73050,6,750,12.5,18.75,12,225.0,9.0,2.38,2025-02-25T13:13:16.885776
S07471400008,2012-09-04,4357,85,10623100,260,43334,24,375,4.5,6.74,3,20.22,1.12,0.3,2025-02-25T13:13:16.885776
S07511400002,2012-09-05,3911,48,10121000,115,11788,6,1750,10.45,15.67,24,376.08,42.0,11.1,2025-02-25T13:13:16.885776
S07544500012,2012-09-06,4603,77,10113000,85,26821,12,500,8.62,12.94,6,77.64,3.0,0.79,2025-02-25T13:13:16.885776
S07607500001,2012-09-07,9010,91,10510100,86,53920,12,375,8.44,12.67,12,152.04,4.5,1.19,2025-02-25T13:13:16.885776
S07601100006,2012-09-10,4073,95,10121000,300,12668,6,1750,8.61,12.91,6,77.46,10.5,2.77,2025-02-25T13:13:16.885776
S07610000016,2012-09-11,3929,7,10411000,370,32234,24,375,3.5,5.24,24,125.76,9.0,2.38,2025-02-25T13:13:16.885776
S07651300017,2012-09-12,4296,89,10813900,421,69638,6,1750,13.33,19.99,12,239.88,21.0,5.55,2025-02-25T13:13:16.885776
S07683000013,2012-09-13,4368,77,10812000,305,73050,6,750,12.5,18.75,4,75.0,3.0,0.79,2025-02-25T13:13:16.885776
S07740300005,2012-09-14,2190,77,10312000,380,40625,12,750,6.5,9.75,3,29.25,2.25,0.59,2025-02-25T13:13:16.885776
S07738900007,2012-09-17,4451,40,10113000,85,26826,12,750,13.54,20.31,6,121.86,4.5,1.19,2025-02-25T13:13:16.885776
S07746400020,2012-09-18,4662,57,10829000,192,65256,12,750,12.04,18.06,12,216.72,9.0,2.38,2025-02-25T13:13:16.885776
S07784200020,2012-09-19,4578,89,10813000,434,81206,12,750,3.7,5.55,3,16.65,2.25,0.59,2025-02-25T13:13:16.885776
S07784000021,2012-09-20,4600,77,10623100,260,43338,6,1750,17.5,26.24,6,157.44,10.5,2.77,2025-02-25T13:13:16.885776
S07874800004,2012-09-21,4310,18,10829000,192,65256,12,750,12.04,18.06,3,54.18,2.25,0.59,2025-02-25T13:13:16.885776
S07865800006,2012-09-24,4532,11,10622000,434,45276,12,750,3.85,5.77,12,69.24,9.0,2.38,2025-02-25T13:13:16.885776
S07878000039,2012-09-25,3929,7,10320800,370,34001,10,600,7.92,11.88,3,35.64,1.8,0.48,2025-02-25T13:13:16.885776
S07917300023,2012-09-26,4411,25,10121000,260,11290,10,300,6.6,9.9,3,29.7,0.9,0.24,2025-02-25T13:13:16.885776
S07939600011,2012-09-27,4359,25,10310800,260,37996,12,750,7.96,11.94,5,59.7,3.75,0.99,2025-02-25T13:13:16.885776
S07387100006,2012-10-01,3664,98,17011000,305,1377,6,750,12.5,18.75,6,112.5,4.5,1.19,2025-02-25T13:13:16.885776
S08007400001,2012-10-02,4657,38,10121000,115,11776,12,750,5.23,7.84,12,94.08,9.0,2.38,2025-02-25T13:13:16.885776
S07317800003,2012-10-03,2290,11,10819000,322,75210,6,750,10.0,15.0,120,1800.0,90.0,23.78,2025-02-25T13:13:16.885776
S07387800014,2012-10-04,3666,57,17011000,192,3135,12,750,12.04,18.06,36,650.16,27.0,7.13,2025-02-25T13:13:16.885776
S07311600001,2012-10-05,2500,85,10320800,434,34546,12,750,7.85,11.78,36,424.08,27.0,7.13,2025-02-25T13:13:16.885776
S07381000051,2012-10-08,2648,77,17011000,55,62906,12,750,3.63,5.45,24,130.8,18.0,4.76,2025-02-25T13:13:16.885776
S07319000007,2012-10-09,2413,31,10813000,434,81207,12,1000,4.05,6.08,36,218.88,36.0,9.51,2025-02-25T13:13:16.885776
S08193100008,2012-10-10,4044,29,10123000,370,15627,12,1000,17.4,26.1,12,313.2,12.0,3.17,2025-02-25T13:13:16.885776
S07424900002,2012-10-11,4194,50,10411000,434,30528,6,1750,7.0,10.5,6,63.0,10.5,2.77,2025-02-25T13:13:16.885776
S07322200016,2012-10-12,2603,82,10810300,421,67586,12,750,5.72,8.58,36,308.88,27.0,7.13,2025-02-25T13:13:16.885776
S07339700009,2012-10-15,2837,7,10112000,259,17958,6,1750,12.15,18.85,12,226.2,21.0,5.55,2025-02-25T13:13:16.885776
S07343300012,2012-10-16,2518,69,10121000,115,11788,6,1750,9.45,14.67,150,2200.5,262.5,69.35,2025-02-25T13:13:16.885776
378900020,2012-10-17,3789,62,10623100,260,43285,12,750,8.25,12.49,12,149.88,9.0,2.38,2025-02-25T13:13:16.885776
S08286500002,2012-10-18,3719,64,,259,59100,12,750,4.46,6.69,12,80.28,9.0,2.38,2025-02-25T13:13:16.885776
S07321400093,2012-10-19,2506,29,10829000,389,64776,12,750,23.31,34.96,12,419.52,9.0,2.38,2025-02-25T13:13:16.885776
S08334300003,2012-10-22,3981,84,10819000,322,75210,6,750,10.0,15.0,12,180.0,9.0,2.38,2025-02-25T13:13:16.885776
S08448000015,2012-10-23,3354,82,10623100,260,43338,6,1750,17.5,26.24,216,5667.84,378.0,99.86,2025-02-25T13:13:16.885776
S07342300002,2012-10-24,3514,94,17011000,260,1400,6,750,14.5,21.75,6,130.5,4.5,1.19,2025-02-25T13:13:16.885776
S07428600018,2012-10-25,4057,77,10322000,260,64746,24,200,4.99,7.49,24,179.76,4.8,1.27,2025-02-25T13:13:16.885776
S07312900011,2012-10-26,2501,85,10121000,115,10550,12,750,6.25,9.63,12,115.56,9.0,2.38,2025-02-25T13:13:16.885776
S08592500005,2012-10-29,4759,7,10121000,65,10628,6,1750,13.75,21.62,6,129.72,10.5,2.77,2025-02-25T13:13:16.885776
S08609200007,2012-10-30,4350,64,10121000,55,12408,6,1750,7.79,12.29,6,73.74,10.5,2.77,2025-02-25T13:13:16.885776
S08641000023,2012-10-31,4296,89,10817000,259,73702,12,750,6.94,10.91,3,32.73,2.25,0.59,2025-02-25T13:13:16.885776
S08627300001,2012-11-01,3881,64,17011000,305,1377,6,750,12.5,18.75,60,1125.0,45.0,11.89,2025-02-25T13:13:16.885776
S08732500001,2012-11-02,3773,57,10623100,260,43331,12,500,5.5,8.25,24,198.0,12.0,3.17,2025-02-25T13:13:16.885776
S08729100005,2012-11-05,4398,99,10112000,65,19476,12,750,15.74,23.61,12,283.32,9.0,2.38,2025-02-25T13:13:16.885776
S08737000025,2012-11-06,4648,7,10510100,115,53210,48,100,1.0,1.5,48,72.0,4.8,1.27,2025-02-25T13:13:16.885776
S08727500008,2012-11-07,4796,77,10121000,260,11296,12,750,14.5,21.74,12,260.88,9.0,2.38,2025-02-25T13:13:16.885776
S08727300036,2012-11-08,4788,57,10121000,65,15248,6,1750,8.92,13.38,6,80.28,10.5,2.77,2025-02-25T13:13:16.885776
S08842700006,2012-11-12,3766,19,10813900,421,69638,6,1750,14.66,21.99,6,131.94,10.5,2.77,2025-02-25T13:13:16.885776
